"iteration","current","best_so_far"
1439,0,3.61
1440,0,3.61
1441,0,3.61
1442,0,3.61
1443,0,3.61
1444,0,3.61
1445,0,3.61
1446,0,3.61
1447,0,3.61
1448,0,3.61
1449,0,3.61
1450,0,3.61
1451,0,3.61
1452,0,3.61
1453,0,3.61
1454,0,3.61
1455,0,3.61
1456,0,3.61
1457,0,3.61
1458,0,3.61
1459,0,3.61
1460,0,3.61
1461,0,3.61
1462,0,3.61
1463,0,3.61
1464,0,3.61
1465,0,3.61
1466,0,3.61
1467,0,3.61
1468,0,3.61
1469,0,3.61
1470,0,3.61
1471,0,3.61
1472,0,3.61
1473,0,3.61
1474,0,3.61
1475,0,3.61
1476,0,3.61
1477,0,3.61
1478,0,3.61
1479,0,3.61
1480,0,3.61
1481,0,3.61
1482,0,3.61
1483,0,3.61
1484,0,3.61
1485,0,3.61
1486,0,3.61
1487,0,3.61
1488,0,3.61
1489,0,3.61
1490,0,3.61
1491,0,3.61
1492,0,3.61
1493,0,3.61
1494,0,3.61
1495,0,3.61
1496,0,3.61
1497,0,3.61
1498,0,3.61
1499,0,3.61
1500,0,3.61
1501,0,3.61
1502,0,3.61
1503,0,3.61
1504,0,3.61
1505,0,3.61
1506,0,3.61
1507,0,3.61
1508,0,3.61
1509,0,3.61
1510,0,3.61
1511,0,3.61
1512,0,3.61
1513,0,3.61
