book_id,group,title_es,author,audience,translated,n_tokens_running,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,emotion_density,valence_ratio,valence_balance,count_anger,count_anticipation,count_disgust,count_fear,count_joy,count_negative,count_positive,count_sadness,count_surprise,count_trust
CMP48,Comparison,El estigma de Errtu,R. A. Salvatore,adult,TRUE,114473,22.372087741214084,20.65115791496685,18.03045259580862,31.710534361814577,12.736627851108995,45.61774392214758,43.88807841150315,22.39829479440567,15.077791269557013,25.508198439806765,168.48514496868256,0.9620834929145922,-1.7296655106444305,2561,2364,2064,3630,1458,5222,5024,2564,1726,2920
CMP49,Comparison,El mar de las espadas,R. A. Salvatore,adult,TRUE,112685,23.206283001286774,20.251142565558858,17.553356702311753,30.42108532635222,12.264276523050983,43.91001464258775,43.33318542840662,17.87283134401207,13.568797976660603,24.94564493943293,160.08341837866618,0.9868633791430881,-0.5768292141811244,2615,2282,1978,3428,1382,4948,4883,2014,1529,2811
CMP50,Comparison,La columna del mundo,R. A. Salvatore,adult,TRUE,114515,20.63485132952015,21.403309610094748,17.211718988778763,25.20193861066236,16.722700082958564,42.0381609396149,43.16465091909357,20.0934375409335,13.8846439331092,25.20193861066236,160.35453870671964,1.0267968425425842,1.12648997947867,2363,2451,1971,2886,1915,4814,4943,2301,1590,2886
CMP51,Comparison,Conflicto,L. J. Smith,young_adult,TRUE,52470,13.3600152468077,19.268153230417383,12.34991423670669,18.639222412807317,12.483323804078521,33.886030112445205,40.57556699066133,20.983419096626644,11.301696207356585,25.462168858395273,133.84791309319613,1.1974128233970753,6.689536878216124,701,1011,648,978,655,1778,2129,1101,593,1336
CMP52,Comparison,Despertar,L. J. Smith,young_adult,TRUE,57263,15.367689432967186,19.698583727712485,13.045072734575555,20.292335364895308,13.813457206223914,35.50285524684351,42.81997101094948,21.689398040619597,12.189371845694428,26.369558004295968,142.46546635698445,1.20609936055091,7.317115764105971,880,1128,747,1162,791,2033,2452,1242,698,1510
CMP53,Comparison,El regreso: anochecer,L. J. Smith,young_adult,TRUE,120678,15.305192330002155,17.434826563250965,13.581597308540083,20.169376356916754,10.623311622665275,34.08243424650723,32.54942905914914,19.837915775866357,11.39395747360745,19.357297933343276,127.70347536419231,0.9550206661804036,-1.5330051873580928,1847,2104,1639,2434,1282,4113,3928,2394,1375,2336
CMP54,Comparison,Furia,L. J. Smith,young_adult,TRUE,55247,13.973609426756203,18.37203830072221,13.2314876825891,21.159519973935236,11.692942603218274,34.31860553514218,36.59927235868011,20.996615200825385,11.077524571469944,24.290911723713506,134.79464948322985,1.0664556962025316,2.2806668235379277,772,1015,731,1169,646,1896,2022,1160,612,1342
CMP55,Comparison,Invocación,L. J. Smith,young_adult,TRUE,55928,16.825203833500215,19.078100414819055,13.231297382348734,23.172650550708052,12.373051065655844,36.18938635388356,35.796023458732655,22.779287655557145,12.873694750393362,21.205836074953513,141.5391217279359,0.9891304347826088,-0.39336289515090783,941,1067,740,1296,692,2024,2002,1274,720,1186
CMP56,Comparison,Stardust,Neil Gaiman,adult,TRUE,59026,12.774031782604276,22.972927184630503,15.366109849896656,15.7388269576119,20.753566225053365,34.57798258394606,47.58919798055094,18.77138887947684,10.554670823027141,31.68095415579575,148.61247585809645,1.3762861342479176,13.011215396604882,754,1356,907,929,1225,2041,2809,1108,623,1870
CMP57,Comparison,La zona muerta,Stephen King,adult,TRUE,156375,11.817745803357314,20.585131894484412,11.35091926458833,18.53876898481215,15.104716227018386,33.982414068745,43.84332533972822,20.047961630695443,12.131095123900879,26.7242206235012,136.30055955235812,1.2901768912307114,9.860911270983216,1848,3219,1775,2899,2362,5314,6856,3135,1897,4179
CMP58,Comparison,El nombre de la rosa,Umberto Eco,adult,TRUE,190088,15.129834602920752,20.8114136610412,14.077690332898447,21.789907832161948,14.793148436513615,35.951769706662176,45.694625647068726,20.31690585413072,10.994907621733091,29.233828542569757,147.14763688396954,1.2709979514193737,9.74285594040655,2876,3956,2676,4142,2812,6834,8686,3862,2090,5557
CMP59,Comparison,Demonios del océano,Justin Somper,young_adult,TRUE,63698,14.427454551163303,23.21893937015291,10.28289742221106,17.912650318691323,11.96269898583943,36.73584727934943,47.0344437815944,19.561053722251877,10.486985462651889,26.86112593802003,134.71380577098182,1.2803418803418805,10.298596502244969,919,1479,655,1141,762,2340,2996,1246,668,1711
CMP60,Comparison,Emboscada en el océano,Justin Somper,young_adult,TRUE,15897,13.084229728879663,20.88444360571177,9.561552494181292,15.600427753664214,11.259986160910863,32.71057432219916,37.17682581619174,17.86500597597031,10.69384160533434,19.56343964269988,118.51292696735233,1.1365384615384617,4.46625149399258,208,332,152,248,179,520,591,284,170,311
CMP61,Comparison,Sangre de capitán,Justin Somper,young_adult,TRUE,116435,14.780778975393996,22.11534332460171,11.560097908704428,19.40997122858247,13.956284622321467,33.168720745480314,46.63546184566496,20.68106668956929,11.207970112079702,26.289345987031393,140.00085884828445,1.4060072501294665,13.466741100184649,1721,2575,1346,2260,1625,3862,5430,2408,1305,3061
CMP62,Comparison,Una ola de terror,Justin Somper,young_adult,TRUE,93232,15.102110863222928,23.40398146559121,9.814226874892741,18.26626051141239,12.409902179509182,33.261112064527204,50.948172301355754,18.00883816715291,10.586493907671185,27.619272352840227,135.21108632229277,1.531763947113834,17.68706023682855,1408,2182,915,1703,1157,3101,4750,1679,987,2575
CMP63,Comparison,Viaje al centro de la Tierra,Jules Verne,young_adult,TRUE,70361,11.412572305680703,20.56537002032376,10.659314108668154,20.593794857946875,12.06634357101235,37.57763533775813,50.55357371271017,19.28625232728358,12.12319324625858,27.67157942610253,134.37841986327652,1.3453101361573374,12.975938374952037,803,1447,750,1449,849,2644,3557,1357,853,1947
PAP01,Papelucho,Papelucho,Marcela Paz,children,FALSE,20669,15.675649523440901,20.41704968793846,12.33731675455997,23.707000822487785,13.401712709855339,40.301901398229234,32.560839905171996,23.75538245681939,9.627945231989937,25.0616865837728,143.98374377086458,0.807923169267707,-7.741061493057238,324,422,255,490,277,833,673,491,199,518
PAP02,Papelucho,Papelucho casi huérfano,Marcela Paz,children,FALSE,17516,14.78648093171957,22.436629367435486,13.758849052295044,20.895181548298698,13.815939712263074,38.02237953870747,37.62274491893126,23.121717287051837,9.191596254852707,29.344599223567023,147.35099337748343,0.9894894894894894,-0.39963461977620796,259,393,241,366,242,666,659,405,161,514
PAP03,Papelucho,Papelucho historiador,Marcela Paz,children,FALSE,13685,16.00292290829375,16.58750456704421,7.453416149068323,18.633540372670808,12.714651077822433,30.39824625502375,39.970770917062474,17.09901351845086,11.983924004384363,23.894775301424918,124.36974789915966,1.314903846153846,9.572524662038724,219,227,102,255,174,416,547,234,164,327
PAP04,Papelucho,Papelucho detective,Marcela Paz,children,FALSE,22303,13.764964354571134,19.279917499887908,13.451105232479936,21.2975832847599,13.406268215038336,39.904945523023805,38.784020086983816,22.014975563825494,11.971483656907143,27.754113796350268,142.9404116038201,0.9719101123595507,-1.1209254360399896,307,430,300,475,299,890,865,491,267,619
PAP05,Papelucho,Papelucho en la clínica,Marcela Paz,children,FALSE,25456,14.41703331238215,22.11659333752357,12.020741671904462,25.45568824638592,14.299182903834067,38.301382778126964,41.561910747957256,22.5879949717159,11.038654934003771,32.5267127592709,154.46260213702075,1.085128205128205,3.2605279698302922,367,563,306,648,364,975,1058,575,281,828
PAP06,Papelucho,Papelucho perdido,Marcela Paz,children,FALSE,16173,14.159401471588449,18.240277004884685,12.42812094231126,21.455512273542325,13.541086996846596,35.24392506028566,35.36758795523403,16.632659370555864,11.500649230198478,28.751623075496198,136.70933036542385,1.0035087719298246,0.12366289494836735,229,295,201,347,219,570,572,269,186,465
PAP07,Papelucho,"Papelucho, mi hermana Ji",Marcela Paz,children,FALSE,15301,11.960002614208221,16.99235344095157,11.110384942160643,25.357819750343115,13.005685902882165,35.6839422259983,36.598915103588,17.057708646493694,9.149728775897,27.972027972027973,132.60571204496438,1.0256410256410255,0.9149728775896975,183,260,170,388,199,546,560,261,140,428
PAP08,Papelucho,Papelucho misionero,Marcela Paz,children,FALSE,21574,13.998331324742747,21.229257439510523,12.376008157967924,23.500509872995273,16.037823305831093,33.929730230833414,38.982108093075,16.315935848706776,10.614628719755261,29.29452118290535,143.36701585241494,1.1489071038251366,5.052377862241585,302,458,267,507,346,732,841,352,229,632
PAP09,Papelucho,Diario secreto de Papelucho y el marciano,Marcela Paz,children,FALSE,19742,13.220545030898592,18.9443825346976,12.156823016918246,22.996656873670346,13.220545030898592,35.45740046601155,36.774389626177694,18.336541383851685,12.61270388005268,25.78259548171411,137.27079323270186,1.0371428571428571,1.3169891601661448,261,374,240,454,261,700,726,362,249,509
PAP10,Papelucho,"Papelucho, mi hermano hippie",Marcela Paz,children,FALSE,21244,10.92073055921672,17.322538128412727,10.308793070984748,18.452268875917905,11.626812276407456,34.50385991338731,36.15138392016569,21.182451515722086,9.696855582752777,24.43042741479947,123.9408774242139,1.0477489768076398,1.647524006778383,232,368,219,392,247,733,768,450,206,519
PAP11,Papelucho,Papelucho en vacaciones,Marcela Paz,children,FALSE,17051,16.421324262506598,19.705589115007918,11.377631810451,23.928215353938185,12.961116650049851,38.414169256935075,33.95695267139757,20.409360154829628,13.606240103219752,18.239399448712685,136.64887689871563,0.883969465648855,-4.457216585537502,280,336,194,408,221,655,579,348,232,311
PAP12,Papelucho,Papelucho: soy dix leso,Marcela Paz,children,FALSE,16411,15.72116263481811,14.563402595819877,13.161903601243068,23.2161355188593,9.140210834196575,36.5608433367863,27.542501980379015,21.32715861312534,9.68862348424837,24.495765035646823,131.31436231795746,0.7533333333333334,-9.018341356407284,258,239,216,381,150,600,452,350,159,402
